"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427124","true","2016-07-25 00:00:00.000","-76.99183","38.94117","2.4","6","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427125","true","2016-08-06 00:00:00.000","-76.99212","38.9412","7.2","4","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427126","true","2016-08-18 00:00:00.000","-76.99241","38.94118","5.0","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427127","true","2016-09-04 00:00:00.000","-76.99265","38.94103","4.6","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427128","true","2016-09-13 00:00:00.000","-76.99265","38.94114","4.6","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427129","true","2016-09-16 00:00:00.000","-76.99219","38.94133","9.7","4","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427130","true","2016-09-22 00:00:00.000","-76.99237","38.94086","2.6","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427131","true","2016-09-25 00:00:00.000","-76.99252","38.94097","1.4","6","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427132","true","2016-09-28 00:00:00.000","-76.99234","38.94113","1.4","6","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427133","true","2016-10-04 00:00:00.000","-80.02832","32.88018","2.4","5","gps","","3","2671-02002","grcaMigration-Ryder","70"
"3942427134","true","2016-10-07 00:00:00.000","-81.16037","26.78237","3.2","6","gps","","3","2671-02002","grcaMigration-Ryder","50"
"3942427135","true","2016-10-10 00:00:00.000","-81.1604","26.78225","1.0","8","gps","","3","2671-02002","grcaMigration-Ryder","50"
"3942427136","true","2016-10-13 00:00:00.000","-81.1567","26.7833","1.3","7","gps","","3","2671-02002","grcaMigration-Ryder","110"
"3942427137","true","2016-10-19 00:00:00.000","-81.1599","26.78456","7.6","4","gps","","3","2671-02002","grcaMigration-Ryder","50"
"3942427138","true","2016-10-25 00:00:00.000","-81.16004","26.78447","1.0","8","gps","","3","2671-02002","grcaMigration-Ryder","50"
"3942427139","true","2016-11-18 00:00:00.000","-81.15967","26.78451","1.4","7","gps","","3","2671-02002","grcaMigration-Ryder","50"
"3942427140","true","2016-08-18 00:00:00.000","-72.53309","42.53766","1.7","6","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427141","true","2016-08-26 00:00:00.000","-72.53249","42.53444","5.5","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427142","true","2016-08-29 00:00:00.000","-72.5323","42.53597","4.6","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427143","true","2016-09-01 00:00:00.000","-72.53435","42.53804","6.8","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427144","true","2016-09-07 00:00:00.000","-72.53408","42.53806","2.1","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427145","true","2016-09-13 00:00:00.000","-72.53385","42.53808","1.6","7","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427146","true","2016-09-16 00:00:00.000","-72.53388","42.53808","1.6","7","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427147","true","2016-09-19 00:00:00.000","-72.53351","42.53824","1.8","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427148","true","2016-09-25 00:00:00.000","-78.92357","38.10893","1.5","7","gps","","4","2651-65626","grcaMigration-Ryder","30"
"3942427149","true","2016-09-28 00:00:00.000","-78.7343","37.84327","1.3","7","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427150","true","2016-10-01 00:00:00.000","-78.73399","37.8431","1.0","8","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427151","true","2016-10-04 00:00:00.000","-81.92356","31.09626","4.2","4","gps","","4","2651-65626","grcaMigration-Ryder","100"
"3942427152","true","2016-10-10 00:00:00.000","-81.50996","26.85369","2.0","5","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427153","true","2016-10-13 00:00:00.000","-81.51094","26.85434","1.2","7","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427154","true","2016-10-16 00:00:00.000","-81.51106","26.85433","1.2","8","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427155","true","2016-10-25 00:00:00.000","-81.51097","26.85441","1.2","6","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427156","true","2016-10-28 00:00:00.000","-81.51112","26.85428","4.8","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427157","true","2016-10-31 00:00:00.000","-81.51114","26.85431","5.1","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427158","true","2016-11-15 00:00:00.000","-81.51109","26.85443","2.8","4","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427159","true","2016-11-21 00:00:00.000","-81.51122","26.85457","4.2","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427160","true","2016-11-24 00:00:00.000","-81.51112","26.85422","3.6","6","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427161","true","2016-11-27 00:00:00.000","-81.51109","26.85469","6.9","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427162","true","2016-11-30 00:00:00.000","-81.51107","26.85442","1.3","6","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427163","true","2016-12-03 00:00:00.000","-81.5108","26.85364","1.0","9","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427164","true","2016-12-06 00:00:00.000","-81.51079","26.85357","1.3","7","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427165","true","2016-12-09 00:00:00.000","-81.51104","26.85413","1.6","7","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427166","true","2016-12-12 00:00:00.000","-81.51087","26.85355","1.3","7","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427167","true","2016-12-15 00:00:00.000","-81.5112","26.85417","7.8","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427168","true","2016-12-18 00:00:00.000","-81.51117","26.85419","1.8","7","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427169","true","2016-12-21 00:00:00.000","-81.51096","26.85372","2.1","6","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427170","true","2016-12-24 00:00:00.000","-81.5108","26.85439","3.3","7","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427171","true","2016-12-27 00:00:00.000","-81.51109","26.85438","4.2","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427172","true","2016-12-30 00:00:00.000","-81.51112","26.85416","1.6","7","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427173","true","2017-01-02 00:00:00.000","-81.51083","26.85445","2.8","6","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427174","true","2017-01-05 00:00:00.000","-81.51101","26.85417","1.8","5","gps","","4","2651-65626","grcaMigration-Ryder","50"
"3942427175","true","2017-01-11 00:00:00.000","-81.51072","26.85361","1.0","8","gps","","4","2651-65626","grcaMigration-Ryder","120"
"3942427176","true","2017-01-14 00:00:00.000","-81.50001","26.8492","0.9","9","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427177","true","2017-01-17 00:00:00.000","-81.50073","26.84925","1.2","7","gps","","4","2651-65626","grcaMigration-Ryder","140"
